cnpj,ispb,corporate_name,is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
27152882000167,27152882,BOXPAG TECNOLOGIA E SERVICOS DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
27188579000114,27188579,HASH LAB SOLUCOES PAGAMENTOS LTDA,False,False,False,True,False,False,True
27659570000144,27659570,CREDPAY SOLUCOES EM PAGAMENTOS LTDA,False,False,False,False,False,False,True
27991246000129,27991246,TB BRASIL SERVICOS DE INTERNET LTDA.,False,False,False,False,False,False,True
28059320000136,28059320,"PERFECT PAY TECNOLOGIA, SERVIÇOS E INTERMEDIAÇÃO LTDA",False,False,False,False,False,False,True
28152414000155,28152414,KREDIT GESTAO BSB LTDA,False,False,False,False,False,False,True
28533398000140,28533398,VALOREM MEIOS ELETRONICOS DE PAGAMENTO LTDA,False,False,False,False,False,False,True
28593387000156,28593387,ZAPAY PAGAMENTOS LTDA,False,False,False,False,False,False,True
28674350000152,28674350,PIERPAY SERVICOS PARA MEIOS DE PAGAMENTOS LTD,False,False,False,False,False,False,True
28707687000119,28707687,CDX EXPRESS SERVICES S.A.,False,False,False,False,False,False,True
28856012000131,28856012,VIVIPAY SERVICOS E INTERMEDIACOES SOCIEDADE ANONIMA,False,False,False,False,False,False,True
28898543000197,28898543,EUROPAG INTERMEDIACAO DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
29278494000152,29278494,VIVA PAG MEIOS DE PAGAMENTO S/A,False,False,False,False,False,False,True
29694508000119,29694508,ATOM CAPITAL - SOLUCOES EMPRESARIAIS E TECNOLOGICAS NO BRASIL EIRELI,False,False,False,False,False,False,True
30001925000118,30001925,FLOW SOLUCOES DE PAGAMENTO LTDA,False,False,False,False,False,False,True
30144977000143,30144977,WOW SOLUCOES CONSULTORIA DE CREDITO ESPECIALIZADA EM RECEBIVEIS DE CARTOES EMEIOS DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
30322074000105,30322074,VAMOS PARCELAR PAGAMENTOS E CORRESPONDENTE LTDA,False,False,False,False,False,False,True
30354551000114,30354551,XPAGO SOLUCOES EM PAGAMENTOS LTDA,False,False,False,False,False,False,True
31174281000122,31174281,PAULO SERGIO GALDEANO FINANCEIRA,False,False,False,False,False,False,True
32557448000105,32557448,PAYPAG SOLUÇÕES E SERVIÇOS DE COBRANÇA LTDA,False,False,False,False,False,False,True
33014556000196,33014556,LOJAS AMERICANAS S.A.,False,False,False,False,False,False,True
38059846000170,38059846,ATP TECNOLOGIA E PRODUTOS S/A,False,False,False,False,False,True,False
45543915000181,45543915,CARREFOUR COMERCIO E INDUSTRIA LTDA,False,False,False,False,False,True,False
47960950000121,47960950,MAGAZINE LUIZA S/A,False,False,False,False,False,True,False
47960950012402,47960950,MAGAZINE LUIZA S/A,False,False,False,False,False,True,False
59158642000166,59158642,EDENRED SOLUÇÕES DE PAGAMENTOS HYLA S.A,True,False,True,False,True,True,False
71962609000190,71962609,PAGARE TECNOLOGIA E SERVICOS LTDA,False,False,False,False,False,True,False
34238075000127,34238075,DIGIMODA MEIOS DE PAGAMENTO LTDA,False,False,False,False,False,True,False
301555150001 21,30155515,ADITUM  PAGAMENTOS LTDA,False,False,False,False,False,True,False
19811318000180,19811318,BUONGIORNO SERVICOS EM COMUNICAÇÃO LTDA,False,False,False,False,False,True,False
07707166000191,07707166,BYTA TECNOLOGIA EM PAGAMENTOS LTDA,False,False,False,False,False,True,False
45543915059232,45543915,CARREFOUR COM E IND LTDA,False,False,False,False,False,True,False
322306780001·57,32230678,CISPAY PAGAMENTOS LTDA,False,False,False,False,False,True,False
315319970001·30,31531997,CONPAY TECNOLOGIA E PAGAMENTOS S.A.,False,False,False,False,False,True,False
01438784000105,01438784,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,False,False,False,False,False,True,False
432140550045 28,43214055,MARTINS COMÉRCIO E SERVIÇOS DE DISTRIBUIÇÃO S.A.,False,False,False,False,False,True,False
33792844000171,33792844,NEXU PAGAMENTOS LTDA,False,False,False,False,False,True,False
02445579000202,02445579,ÔNIX SERVIÇOS DE VALOR AGREGADO LTDA,False,False,False,False,False,True,False
29685848000183,29685848,ORBES INTERMEDIACOES E AGENCIAMENTO DE SERVICOS LTDA,False,False,False,False,False,True,False
15673592000180,15673592,PAYU BRASIL INTERMEDIAÇÃO DE NEGÓCIOS LTDA,True,False,False,False,True,True,False
32310603000186,32310603,PITAIA FOMENTO COMERCIAL LTDA,False,False,False,False,False,True,False
31861005000132,31861005,PRIMEPAG SOLUÇÕES EM PAGAMENTOS ELETRÔNICOS LTDA,False,False,False,False,False,True,False
20308187000100,20308187,PROVER PROMOCAO DE VENDAS LTDA,False,False,False,False,False,True,False
28595756000140,28595756,S3 PAY SOLUCOES DE PAGAMENTOS S.A,False,False,False,False,False,True,False
04833541000151,04833541,SUPERLOGICA TECNOLOGIAS S.A.,False,False,False,False,False,True,False
25336669000180,25336669,VELOPAG SOLUÇÕES EM PAGAMENTOS E SERVIÇOS LTDA.,False,False,False,False,False,True,False
18526399000104,18526399,VIVICARD ADMINISTRADORA DE CARTÕES S/A,False,False,False,False,False,True,False
26579053000100,26579053,YOOPAY S.A.,False,False,False,False,False,True,False
21270789000170,21270789,ZOOMPAY SOLUCOES E LIQUIDACAO DE PAGAMENTOS LTDA,False,False,False,False,False,True,False
21499716000155,21499716,NEXU TECNOLOGIA EM CAPTURAS E PROCESSAMENTO DE TRANSAÇÕES LTDA.,False,False,False,False,False,False,True
13966572000171,13966572,CAPPTA S.A.,False,False,False,False,False,False,True
26900161000125,26900161,RAPPI BRASIL INTERMEDIACAO DE NEGOCIOS LTDA,False,False,False,False,False,True,False
52556578000122,52556578,ELGIN S.A,False,True,False,False,False,True,False
31812741000109,31812741,DIGITAL EAZY PARTICIPAÇÕES LTDA,False,False,False,False,False,False,True
13284219000101,13248219,EADBOX TECNOLOGIA PARA EDUCAÇÃO SA,False,False,False,False,False,False,True
36382680000100,36382680,QUERO 2 PAY SOLUÇÕES EM MEIOS DE PAGAMENTOS LTDA,False,False,False,False,False,True,False
40402740000179,40402740,B23S SERVIÇOS DE TECNOLOGIA LTDA,False,False,False,False,False,False,True
12481100000166,12481100,BIZ2U PAGAMENTOS LTDA,False,False,False,False,False,False,True
19432487000100,19432487,ÍCONE TECNOLOGIA E PAGAMENTOS LTDA,False,False,False,False,False,False,True
