corporate_name_x,cnpj,profile,ispb,corporate_name_y,is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
Fingerprint Digital e Tecnologia de Informação LTDA,27879580000195,IC,27879580,FINGERPRINT DIGITAL E TECNOLOGIA DE INFORMACAO LTDA.,False,False,False,False,False,True,False
FIX PAGAMENTOS,29237659000148,IC,29237659,FIX PAY ADMINISTRAÇÃO DE PAGAMENTOS LTDA,False,False,False,False,False,False,True
FLEXPAG (INFOCUSWEB TECNOLOGIA E NEGoCIOS S.A),04870413000188,IC,04870413,INFOCUSWEB - TECNOLOGIA E NEGOCIOS S.A,False,False,False,False,False,False,True
FrogPay_Matriz,23757841000143,IC,23757841,FROGPAY SOLUCAO EM PAGAMENTOS LTDA,False,False,False,False,False,False,True
GFG COMÉRCIO DIGITAL LTDA,11200418000169,IC,11200418,GFG COMERCIO DIGITAL LTDA.,False,False,False,False,False,True,True
I9PAY SOLUÇÕES EM PAGAMENTOS E SERVIÇOS LTDA,34355611000174,IC,34355611,I9PAY SOLUÇÕES EM PAGAMENTOS E SERVIÇOS LTDA.,False,False,False,False,False,True,False
IFOOD.COM AGENCIA DE SERVICOS DE RESTAURANTES ONLINE SA,14380200000121,IC,14380200,IFOOD.COM AGÊNCIA DE RESTAURANTES ONLINE S.A.,False,True,False,False,False,True,False
IUGU,15111975000164,IC,15111975,IUGU SERVICOS NA INTERNET S/A,False,False,False,False,False,False,True
JOY PAY SOLUCOES E TECNOLOGIA EM MEIOS DE PAGAMENTO LTDA,25391162000129,IC,25391162,JOY PAY SOLUCOES E TECNOLOGIA EM MEIOS DE PAGAMENTO LTDA,False,False,False,False,False,False,True
JUSTA SOLUÇÕES FINANCEIRAS S.A,29959810000151,IC,29959810,JUSTA PAGAMENTOS E SERVICOS FINANCEIROS LTDA,False,False,False,False,False,False,True
KIIK SOLUCOES E SERVICOS DE PAGAMENTO LTDA,19257959000135,IC,19257959,KIIK SOLUCOES E SERVICOS DE PAGAMENTO LTDA,False,False,False,False,False,False,True
"LAUNCH PAD TECNOLOGIA,SERVIcOS E PAGAMENTOS LTDA",13427325000105,IC,13427325,LAUNCH PAD TECNOLOGIA E SERVIÇOS LTDA,False,True,False,False,False,True,False
LINX PAY MEIOS DE PAGAMENTOS LTDA,27547510000130,IC,27547510,LINX PAY MEIOS DE PAGAMENTO LTDA,False,False,False,False,False,True,False
LOGBANK SOLUCOES EM PAGAMENTOS S.A,28505126000137,IC,28505126,LOGBANK SOLUÇÕES EM PAGAMENTOS S.A.,False,False,False,False,False,True,False
LOGICS4U ASSESSORIA E CONSULTORIA EIRELI,28922674000162,IC,28922674,LOGICS4U ASSESSORIA E CONSULTORIA EIRELI,False,False,False,False,False,True,False
Lucree Soluções Inteligentes S.A.,26794946000160,IC,26794946,LUCREE SOLUCOES INTELIGENTES LTDA.,False,False,False,False,False,True,False
M4 PRODUTOS E SERVIÇOS S.A,09614276000134,IC,09614276,M4 PRODUTOS E SERVIÇOS S.A.,False,True,False,False,False,True,False
MadeiraMadeira Comercio Eletronico S.A.,10490181000135,IC,10490181,MADEIRAMADEIRA COMERCIO ELETRONICO S.A,False,False,False,False,False,True,True
MAGALU PAGAMENTOS LTDA,17948578000177,IC,17948578,MAGALU PAGAMENTOS,False,False,True,False,False,True,False
Maxicard Consultoria de Negócios em Tecnologia LTDA,08508546000160,IC,08508546,MAXICARD CONSULTORIA DE NEGOCIOS EM TECNOLOGIA LTDA,False,True,False,False,False,True,False
MERCOSUL NEGoCIOS FINANCEIROS LTDA.,24563598000195,IC,24563598,KASULO INSTITUIDORA DE SERVICOS DE PAGAMENTOS LTDA,False,False,False,False,False,True,False
ML SOLUcoES DE VAREJO S.A.,33650301000110,IC,33650301,ML SOLUÇÕES DE VAREJO S.A.,False,False,False,False,False,False,True
MOBLY,14055516000148,IC,14055516,MOBLY COMERCIO VAREJISTA LTDA.,False,False,False,False,False,False,True
MOKA PAY SERVIcOS FINANCEIROS LTDA,34320458000140,IC,34320458,MOKA PAY SERVIÇOS FINANCEIROS LTDA,False,False,False,False,False,True,False
Monetizze Solucoes em Pagamento On-Line S.A.,23055665000106,IC,23055665,MONETIZZE SOLUCOES EM PAGAMENTO ON-LINE S.A.,False,False,False,False,False,False,True
MOOZ SOLUÇÕES FINANCEIRAS,06308851000182,IC,06308851,HAGANÁ FOMENTO MERCANTIL LTDA,False,True,False,False,False,True,False
MOSAICO NEGOCIOS DE INTERNET,09083175000184,IC,09083175,MOSAICO NEGOCIOS DE INTERNET S/A,False,False,False,False,False,False,True
MR PAGAMENTOS S/A,33444505000102,IC,33444505,MR PAGAMENTOS SA,False,False,False,False,False,True,False
NEO SOLUCOES FINANCEIRAS E DE PAGAMENTOS,28748698000147,IC,28748698,NEO SOLUCOES FINANCEIRAS E DE PAGAMENTO EIRELI,False,False,False,False,False,False,True
Nexxpago,18286449000123,IC,18286449,NEXXPAGO TECNOLOGIA E SERVICOS S.A.,False,False,False,False,False,False,True
OLX MEIOS DE PAGAMENTO LTDA,17204944000183,IC,17204944,OLX PAY INSTITUIÇÃO DE PAGAMENTO LTDA,False,False,False,False,False,False,True
ÔNIX SERVIÇOS DE VALOR AGREGADO LTDA,02445579000121,IC,02445579,ONIX SERVICOS DE VALOR AGREGADO LTDA,False,False,False,False,False,True,False
ORUSPAY SERVICO DE INTERNET LTDA,23791922000160,IC,23791922,ORUSPAY SERVICOS INTERNET LTDAISYBUY SOLUCOES DE PAGAMENTO LTDA,False,False,False,False,False,False,True
PAGBRASIL,14630124000165,IC,14630124,PAGBRASIL PAGAMENTOS ELETRONICOS LTDA,False,False,False,False,False,False,True
PAGMAX ADMINISTRADORA DE MEIOS DE PAGAMENTOS E SERVICOS LTDA,16725465000140,IC,16725465,PAGMAX ADMINISTRADORA DE MEIOS DE PAGAMENTOS E SERVICOS LTDA,False,False,False,False,False,False,True
Pagolivre Tecnologia SA,21262661000165,IC,21262661,PAGOLIVRE TECNOLOGIA S.A,False,False,False,False,False,True,True
PAGPOS SOLUCOES DE PAGAMENTO LTDA,22939815000173,IC,22939815,PAGPOS SOLUCOES DE PAGAMENTO LTDA,False,False,False,False,False,False,True
PagSeguro Internet Instituição de Pagamento S.A. (Matriz),08561701000101,IC,08561701,PAGSEGURO INTERNET S.A.,False,True,False,True,False,True,True
PAGSERVIÇOS DO BRASIL LTDA,10344530000100,IC,10344530,PAGCOM SERVICOS DO BRASIL LTDA,False,False,False,False,False,False,True
PAYGO ADMINISTRADORA DE MEIOS DE PAGAMENTO LTDA,06167186000154,IC,06167186,PAYGO ADMINISTRADORA DE MEIOS DE PAGAMENTOS LTDA,False,False,False,False,False,True,True
PAYSHOPX MEIOS DE PAGAMENTOS LTDA.,29257606000199,IC,29257606,PAYSHOPX,False,False,False,False,False,False,True
PayU Brasil Intermediacao de Negocios Ltda,08965639000113,IC,08965639,PAYU BRASIL INTERMEDIAÇÃO DE NEGÓCIOS LTDA,False,False,False,False,False,True,False
Picpay Servicos S/A,22896431000110,IC,22896431,PICPAY SERVIÇOS S.A.,False,True,True,False,False,True,False
PINBANK Brasil Pagamentos Inteligentes S.A,17079937000105,IC,17079937,PINBANK BRASIL - PAGAMENTOS INTELIGENTES S.A,False,True,False,False,False,True,False
PJBank Pagamentos S.A.,18191228000171,IC,18191228,PJBANK PAGAMENTOS S.A.,False,True,False,False,False,True,False
Pocket Pay Soluções em Pagamentos Ltda,37313312000165,IC,37313312,POCKET PAY SOLUÇÕES EM PAGAMENTOS LTDA,False,False,False,False,False,False,True
POTENCIAL TECNOLOGIA LTDA,21301803000156,IC,21301803,POTENCIAL TECNOLOGIA LTDA,False,False,False,False,False,False,True
POVIG TECNOLOGIA EM PAGAMENTOS ELETRONICOS LTDA,35524559000103,IC,35524559,NATURA & CO PAY SERVIÇOS FINANCEIROS E TECNOLOGIA EM PAGAMENTOS ELETRÔNICOSLTDA,False,False,False,False,False,True,True
PRONTO PAGUEI GESTaO FINANCEIRA LTDA,33595865000105,IC,33595865,PRONTO PAGUEI GESTAO FINANCEIRA LTDA,False,False,False,False,False,True,False
PRONTO SERVIcOS DE PAGAMENTO LTDA,37983316000150,IC,37983316,PRONTO SERVIÇOS DE PAGAMENTO LTDA,False,False,False,False,False,False,True
